Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
1;Precious Achiuwa;PF-C;24;TOT;74;18;219;32;63;.501;4;13;.268;28;50;.562;.529;9;15;.616;26;40;66;13;6;9;11;19;76;achiupr01
2;Bam Adebayo;C;26;MIA;71;71;340;75;143;.521;2;6;.357;73;137;.528;.529;41;55;.755;22;81;104;39;11;9;23;22;193;adebaba01
3;Ochai Agbaji;SG;23;TOT;78;28;210;23;56;.411;8;27;.294;15;28;.523;.483;5;7;.661;9;18;28;11;6;6;8;15;58;agbajoc01
4;Santi Aldama;PF;23;MEM;61;35;265;40;93;.435;17;50;.349;23;43;.534;.528;9;14;.621;12;46;58;23;7;9;11;15;107;aldamsa01
5;Nickeil Alexander-Walker;SG;25;MIN;82;20;234;29;66;.439;16;41;.391;13;25;.517;.560;6;8;.800;4;16;20;25;8;5;9;17;80;alexani01
6;Grayson Allen;SG;28;PHO;75;74;335;45;91;.499;27;59;.461;18;32;.570;.649;17;20;.878;6;33;39;30;9;6;13;21;135;allengr01
7;Jarrett Allen;C;25;CLE;77;77;317;67;106;.634;0;1;.000;67;106;.638;.634;30;41;.742;32;74;105;27;7;11;16;19;165;allenja01
8;Timmy Allen;SF;24;MEM;5;0;250;12;46;.261;0;14;.000;12;32;.375;.261;2;4;.500;8;26;34;10;8;0;4;36;26;allenti01
9;Jose Alvarado;PG;25;NOP;56;0;184;25;62;.412;14;37;.377;11;25;.464;.525;6;9;.673;4;18;23;21;11;3;7;16;71;alvarjo01
10;Kyle Anderson;PF;30;MIN;79;10;226;25;55;.460;1;6;.229;24;49;.488;.472;12;17;.708;8;27;35;42;9;6;12;16;64;anderky01
11;Giannis Antetokounmpo;PF;29;MIL;73;73;352;115;188;.611;5;17;.274;110;171;.645;.624;70;107;.657;27;88;115;65;12;11;34;29;304;antetgi01
